LCT,n,gamma_detection_method
Allosmerus elongatus,2,only trawl
Alosa sapidissima,3,both eDNA/trawl
Anoplopoma fimbria,6,both eDNA/trawl
Beringraja binoculata,1,only eDNA
Citharichthys stigmaeus,2,only eDNA
Clupea pallasii,13,both eDNA/trawl
Corphaenidoes sp,1,only trawl
Cryptacanthodes giganteus,1,only eDNA
Diaphus theta,4,only trawl
Engraulis mordax,2,only trawl
Entosphenus tridentatus,1,only trawl
Eopsetta jordani,1,only eDNA
Gadus/chalcogrammus,12,both eDNA/trawl
Glyptocephalus zachirus,4,only eDNA
Hippoglossoides elassodon,1,only eDNA
Leptoclinus maculatus,1,only eDNA
Mallotus villosus,1,only trawl
Merluccius productus,11,both eDNA/trawl
Microstomus pacificus,1,only eDNA
Oncorhynchus gorbuscha,4,both eDNA/trawl
Oncorhynchus keta,3,both eDNA/trawl
Oncorhynchus kisutch,5,both eDNA/trawl
Oncorhynchus nerka,9,both eDNA/trawl
Oncorhynchus tshawytscha,7,both eDNA/trawl
Parophrys vetulus,1,only trawl
Pholis laeta,1,only eDNA
Phytichthys chirus,2,only eDNA
Reinhardtius hippoglossoides,1,only trawl
Sebastes alutus,3,only eDNA
Sebastes caurinus/maliger,2,only eDNA
Sebastes crameri,4,only eDNA
Sebastes entomelas,4,both eDNA/trawl
Sebastes flavidus,2,only trawl
Sebastes mystinus,1,only eDNA
Spirinchus starksi,1,only trawl
Squalus suckleyi,12,both eDNA/trawl
Thaleichthys pacificus,13,both eDNA/trawl
Xiphister atropurpureus/mucosus,1,only eDNA
